Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps),loss,iptext,isp
16/09/25,05:40,4.31,0.15,672.32,709.87,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,05:45,4.34,0.24,599.99,701.1,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,05:50,4.15,0.08,634.67,708.21,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,05:55,4.73,0.61,607.55,697.73,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:00,3.99,0.13,636.31,707.27,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:05,4.08,0.15,573.77,675.79,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:10,4.43,0.21,774.64,692.38,1.9,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:15,4.52,0.26,545.55,708.64,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:20,4.77,0.57,416.36,590.25,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:25,4.18,0.2,747.69,645.89,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:30,4.15,0.22,603.24,693.82,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:35,4.02,0.06,632.11,692.68,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:40,4.01,0.16,604.29,705.05,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:45,4.06,0.24,590.03,691.12,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:50,3.98,0.17,575.71,699.13,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,06:55,4.31,0.32,586.54,704.94,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:00,4.14,0.4,565.41,687.42,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:05,4.34,0.3,662.32,704.89,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:10,4.15,0.13,548.34,707.34,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:15,4.27,0.26,598.61,701.41,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:20,4.13,0.16,618.67,691.58,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:25,4.27,0.11,720.6,683.9,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:30,4.46,5.39,496.46,694.88,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:35,4.36,0.12,584.72,700.72,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:40,4.2,0.21,596.34,709.22,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:45,3.95,0.11,600.57,705.58,1.4,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:50,4.2,0.14,610.9,701.91,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,07:55,4.16,0.23,615.86,702.48,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:00,4.14,0.35,585.44,324.65,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:05,4.3,0.64,498.05,694.31,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:10,4.5,0.49,490.5,689.85,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:15,4.26,0.18,737.82,691.39,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:20,4.37,0.22,529.07,697.31,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:25,4.05,0.25,635.22,698.48,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:30,4.25,0.1,582.44,536.11,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:35,4.65,0.23,403.12,663.22,2.1,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:40,4.28,0.07,771.23,695.11,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:45,4.5,0.06,438.5,678.23,1.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:50,3.96,0.12,606.59,700.12,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,08:55,4.18,0.17,599.89,706.34,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:00,4.92,0.6,410.92,664.22,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:05,4.18,0.15,573.91,699.77,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:10,4.46,0.27,623.3,693.04,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:15,4.54,0.33,616.38,693.02,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:20,4.09,0.23,528.79,690.1,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:25,4.03,0.28,584.36,683.9,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:30,4.22,0.11,608.68,672.2,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:35,3.98,0.11,633.17,700.05,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:40,4.79,0.15,829.11,678.29,2.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:45,3.96,0.14,610.77,693.03,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:50,4.13,0.11,617.73,703.43,0.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,09:55,4.23,0.11,600.76,674.01,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:00,4.19,0.36,607.31,240.98,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:05,4.35,0.28,596.0,693.32,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:10,4.22,0.34,837.16,693.11,1.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:15,4.19,0.22,814.74,698.71,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:20,3.96,0.14,597.81,678.1,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:25,3.96,0.1,567.44,672.08,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:30,3.97,0.22,488.08,677.5,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:35,4.04,0.08,552.9,693.61,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:40,3.96,0.1,605.05,676.94,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:45,4.07,0.58,620.05,692.03,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:50,4.18,0.2,599.02,693.37,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,10:55,3.99,0.1,632.49,689.66,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:00,4.34,0.12,531.94,630.75,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:05,4.25,0.24,599.07,668.84,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:10,4.05,0.16,618.65,674.21,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:15,3.93,0.2,587.38,693.67,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:20,4.2,0.2,575.42,677.17,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:25,4.07,0.18,602.58,704.54,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:30,4.51,0.47,542.07,679.2,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:35,4.16,0.09,501.3,695.19,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:40,3.97,0.2,626.28,678.69,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:45,3.95,0.17,614.65,698.39,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:50,4.06,0.4,596.83,705.18,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,11:55,4.36,1.42,619.2,694.88,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:00,4.44,0.5,580.42,155.52,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:05,3.99,0.15,606.58,649.42,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:10,3.88,0.11,637.33,672.05,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:15,4.15,0.14,637.22,700.43,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:20,4.15,0.27,493.42,608.14,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:25,4.07,0.18,606.84,678.54,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:30,3.96,0.11,458.22,697.64,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:35,4.14,0.17,628.16,689.25,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:40,3.82,0.17,626.92,685.68,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:45,4.34,0.2,615.8,692.45,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:50,3.92,0.3,613.49,672.3,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,12:55,4.08,0.27,434.09,681.15,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:00,3.98,0.16,609.17,649.21,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:05,3.96,0.32,623.3,650.79,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:10,4.51,0.48,579.61,651.31,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:15,3.87,0.25,588.39,645.0,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:20,4.07,0.19,614.7,687.25,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:25,4.36,0.28,591.67,697.69,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:30,3.95,0.19,611.97,670.84,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:35,4.17,0.83,546.27,692.56,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:40,4.1,0.27,610.28,688.77,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:45,4.1,0.25,552.32,676.23,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:50,4.11,0.2,548.37,666.2,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,13:55,4.12,0.4,481.95,687.64,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:00,4.7,0.27,433.32,665.06,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:05,4.06,0.36,504.53,674.57,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:10,4.15,0.16,549.16,661.43,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:15,4.06,1.61,582.8,679.71,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:20,4.06,0.14,610.06,668.26,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:25,3.99,0.14,604.3,685.99,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:30,4.18,0.1,537.54,637.23,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:35,4.21,0.15,570.01,689.36,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:40,4.27,0.72,342.73,644.25,0.9,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:45,3.95,0.19,595.92,689.76,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:50,3.9,0.18,618.7,673.25,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,14:55,4.01,0.24,607.36,680.06,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:00,4.13,0.35,569.8,679.01,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:05,4.16,0.15,564.4,672.28,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:10,4.18,0.17,609.03,651.38,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:15,4.27,0.16,871.5,640.92,2.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:20,3.99,0.12,604.28,662.0,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:25,3.87,0.16,563.73,670.87,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:30,3.97,0.12,590.33,654.55,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:35,4.09,0.34,648.31,663.01,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:40,4.18,0.12,510.92,651.67,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:45,4.04,0.23,593.18,662.52,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:50,4.0,0.07,443.13,655.48,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,15:55,4.69,0.55,667.56,653.58,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:00,4.4,0.22,556.86,666.93,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:05,3.76,0.19,552.87,656.55,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:10,4.06,0.22,525.76,648.92,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:15,4.01,0.23,542.89,674.66,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:20,3.98,0.1,468.15,670.77,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:25,4.07,0.19,541.4,663.86,0.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:30,4.14,0.55,432.05,412.68,0.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:35,4.02,0.11,608.4,642.67,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:40,8.92,1.22,596.74,612.15,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:45,4.67,0.51,399.32,569.74,1.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:50,4.11,0.42,560.23,661.12,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,16:55,4.1,1.41,808.66,671.48,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:00,4.33,0.15,559.34,634.5,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:05,4.01,0.18,738.07,602.78,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:10,3.94,0.07,590.89,653.74,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:15,4.06,0.29,553.47,666.66,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:20,4.9,52.43,529.77,653.41,0.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:25,4.49,0.35,568.69,659.2,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:30,4.17,0.2,547.85,662.32,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:35,4.09,0.67,554.64,652.23,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:40,4.21,0.28,531.64,662.87,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:45,3.99,0.18,574.9,649.26,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:50,4.15,0.15,580.53,639.93,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,17:55,4.05,0.09,674.52,668.61,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:00,4.67,0.78,294.8,167.36,0.4,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:05,4.1,0.09,573.72,683.73,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:10,4.17,0.26,526.6,683.55,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:15,3.9,0.18,549.8,667.26,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:20,3.96,0.12,419.39,666.51,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:25,4.2,0.24,482.86,640.26,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:30,4.12,0.56,585.61,579.71,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:35,4.47,0.28,498.12,679.05,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:40,4.09,0.27,516.64,670.87,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:45,3.76,0.92,569.19,672.6,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:50,4.07,0.28,528.84,667.88,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,18:55,4.1,0.21,486.8,680.92,0.9,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:00,3.79,0.87,528.14,646.12,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:05,3.95,0.64,490.53,612.7,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:10,4.62,0.28,314.54,639.56,1.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:15,4.06,0.5,424.12,670.22,0.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:20,4.14,0.33,549.6,654.7,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:25,4.74,0.4,465.75,643.59,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:30,4.32,1.52,225.12,337.5,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:35,4.04,0.84,702.94,608.48,0.8,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:40,6.13,18.01,506.22,655.21,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:45,4.14,0.18,479.03,666.34,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:50,3.59,1.13,464.98,644.86,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,19:55,4.02,0.24,504.19,666.15,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,20:00,3.63,0.74,456.25,676.24,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,20:05,4.1,0.57,612.8,677.86,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,20:10,13.26,1.88,632.84,623.36,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,20:15,4.53,1.87,484.5,567.46,0.4,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,20:20,4.36,0.48,370.83,648.17,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
16/09/25,20:25,4.17,0.74,413.38,658.42,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
