Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps),loss,iptext,isp
12/09/25,12:20,5.27,1.43,537.57,346.16,0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,12:25,4.07,0.08,615.4,682.53,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,12:30,4.42,0.2,620.44,674.49,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,12:35,4.25,0.31,761.88,691.24,0.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,12:40,3.92,0.22,414.63,658.88,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,12:45,4.13,0.37,383.25,689.38,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,12:50,4.12,0.14,420.92,684.07,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,12:55,4.24,0.3,461.7,667.33,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:00,3.96,0.09,605.47,664.07,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:05,3.85,0.26,621.19,684.8,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:10,9.94,3.62,438.09,677.24,3.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:15,4.11,0.16,517.09,677.17,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:20,4.3,0.48,583.7,568.32,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:25,4.22,0.35,697.17,677.67,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:30,4.09,0.24,580.94,681.11,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:35,4.32,0.42,557.41,681.97,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:40,4.53,0.39,522.37,684.77,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:45,4.35,0.18,605.66,685.3,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:50,4.76,0.08,536.66,689.07,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,13:55,4.14,1.74,475.76,677.53,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:00,4.01,0.36,486.37,163.82,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:05,4.07,0.52,551.23,678.28,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:10,4.33,0.35,536.51,606.52,0.3,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:15,4.28,0.41,558.86,636.79,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:20,4.74,0.27,878.59,651.17,0.5,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:25,4.27,0.2,755.32,652.24,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:30,4.03,0.21,516.8,316.83,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:35,4.1,1.05,571.02,671.79,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:40,4.2,0.43,570.76,671.78,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:45,5.34,1.42,515.96,541.3,0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:50,4.27,0.13,565.03,655.29,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,14:55,4.13,0.11,577.18,634.36,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:00,4.39,0.39,758.03,522.42,1.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:05,4.63,2.33,726.68,640.84,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:10,4.46,0.72,559.04,675.78,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:15,4.26,0.11,665.44,655.68,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:20,4.48,0.37,577.43,661.74,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:25,4.13,0.21,571.76,684.83,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:30,4.18,0.16,588.21,652.73,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:35,4.07,0.14,605.54,659.94,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:40,4.07,0.12,616.45,694.91,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:45,4.07,0.19,807.88,660.72,0.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:50,4.33,0.08,627.21,664.32,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,15:55,3.98,0.14,613.44,677.68,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:00,3.93,0.1,564.87,185.36,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:05,3.9,0.38,597.23,682.62,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:10,4.94,0.53,372.95,499.68,0.8,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:15,4.06,0.12,578.16,679.22,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:20,3.88,0.38,599.52,682.44,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:25,4.24,0.19,598.1,684.2,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:30,4.1,0.19,542.19,679.83,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:35,3.97,0.22,528.87,681.58,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:40,4.12,0.7,705.88,672.05,1.6,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:45,4.37,0.21,582.8,687.91,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:50,4.59,0.26,428.42,685.14,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,16:55,4.09,0.19,576.76,684.36,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:00,4.32,0.23,755.04,520.61,0.7,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:05,4.05,0.06,693.22,681.05,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
12/09/25,17:10,4.23,0.08,741.9,664.04,0.0,138.97.240.197,Sem Fone Telecomunicacoes Ltda,Sem Fone Telecomunicacoes Ltda
