timestamp,iface,internal_ip,external_ip,server_id,server_name,ping_ms,jitter_ms,download_mbps,upload_mbps,result_url
2025-12-23T11:50:22Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.205,0.443,792.368512,388.44656,3TEL
2025-12-23T12:00:30Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,3.919,0.178,273.085824,394.986608,3TEL
2025-12-23T12:10:21Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.212,0.038,831.392936,386.324456,3TEL
2025-12-23T12:20:32Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.694,0.079,569.093952,421.722368,3TEL
2025-12-23T12:30:22Z,eth0.70,192.168.70.3,138.97.240.197,43094,Nossanet Fibra,4.769,0.139,482.313136,386.339176,3TEL
2025-12-23T12:40:30Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,3.951,0.272,369.00948,394.343928,3TEL
2025-12-23T12:50:27Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,4.098,0.798,573.15724,330.483672,3TEL
2025-12-23T13:00:35Z,eth0.70,192.168.70.3,138.97.240.197,62495,Velosch Telecom,4.105,0.092,138.702952,278.54788,3TEL
2025-12-23T13:10:26Z,eth0.70,192.168.70.3,138.97.240.197,52397,HBNets,4.149,0.431,586.21832,384.864632,3TEL
2025-12-23T13:20:26Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.967,0.131,622.253552,385.114528,3TEL
2025-12-23T13:30:30Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,4.312,0.171,561.740936,390.954944,3TEL
2025-12-23T13:40:29Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,4.707,1.214,414.304072,395.573672,3TEL
2025-12-23T13:50:25Z,eth0.70,192.168.70.3,138.97.240.197,27078,Mega Net Telecom Ltda,3.956,0.111,660.007288,308.564776,3TEL
2025-12-23T13:56:46Z,eth0.70,192.168.70.3,138.97.240.197,31133,FORÇA E AÇÃO TELECOM,3.983,0.167,565.86904,385.826408,3TEL
